country	classical	country	electronic	hip-hop	indie	jazz	metal	pop	rnb	rock
AL	0	0	0	0	0	0	0	0	0	1
AU	1	2	0	2	1	1	0	1	1	0
BE	0	0	2	0	2	0	0	0	0	0
BR	0	1	1	0	0	0	2	0	0	0
CA	0	0	0	0	0	0	0	1	0	2
CH	0	0	0	0	0	1	0	0	0	0
CN	0	0	0	0	0	0	0	0	1	0
DE	0	0	0	1	0	2	0	3	2	0
DK	0	0	0	0	0	0	0	1	0	0
DZ	0	0	0	0	0	1	0	0	0	0
ES	0	0	1	0	0	0	0	0	0	0
FR	0	0	1	0	0	0	0	1	1	0
GB	1	1	1	3	5	4	0	3	1	3
IT	0	0	0	0	1	1	0	1	0	0
JP	0	0	0	0	0	0	1	1	1	0
LY	0	0	0	0	0	0	0	1	0	0
MX	0	0	0	0	0	0	0	0	0	1
NL	0	1	0	0	0	0	0	0	0	0
NZ	0	0	0	0	0	0	0	1	0	0
PL	0	0	0	0	0	0	1	1	0	0
RU	0	0	0	0	0	1	1	0	1	0
SE	0	0	0	1	0	0	0	0	0	1
SG	0	0	0	1	0	0	0	0	0	0
US	2	13	6	3	4	1	4	2	4	4
XE	1	0	0	1	0	0	3	0	1	1
XW	0	1	2	6	1	0	0	4	1	1
